TRANSACTION_ID,CUSTOMER_ID,ACCOUNT_ID,AMOUNT,DATE_TIME
968953739,45475,1561887,602871.09,2022-12-11T01:41:17
501052450,42507,8951601,873070.46,2023-06-19T15:46:56
333444274,51847,4557994,494688.83,2022-10-14T04:25:12
332433088,78581,9025446,936700.1,2023-03-03T12:36:49
404403384,46644,5267580,532185.84,2022-01-26T03:33:08
876264355,96549,4565444,824983.72,2024-04-06T20:42:39
755476816,25303,4669996,79989.46,2020-12-06T18:31:31
206384220,21086,2496226,9758.18,2020-10-22T17:20:44
238959129,91982,5080181,791340.0,2022-05-24T01:04:33
945672266,92410,8950664,82016.95,2020-12-20T12:59:24
502994538,96549,4565444,124133.74,2022-06-17T23:29:39
715725224,45475,1561887,778821.31,2020-06-25T08:12:09
224494810,79457,1096049,896060.32,2020-05-27T00:41:04
863645873,25303,3531676,419218.83,2022-10-09T04:28:56
338837571,21382,7868852,340918.82,2022-05-18T03:39:38
749546509,96327,3738216,195134.66,2024-10-07T19:18:27
448970227,45475,1882412,351831.0,2022-02-03T22:28:31
112217294,70147,3703282,447683.54,2021-11-12T19:10:51
916065412,19073,9795380,629691.59,2020-05-24T06:56:21
710525764,13720,6352513,848368.77,2023-02-03T00:58:46
679352929,18356,1284106,14766.46,2023-02-04T02:38:50
595792357,42507,8951601,860278.96,2023-01-11T23:16:54
920595437,51847,4557994,163158.35,2022-07-12T19:46:22
140672226,30281,8715818,110235.08,2022-06-11T19:56:00
624467636,18356,7187024,791356.58,2020-12-10T05:22:32
475989805,21086,9134050,350426.27,2023-10-15T23:27:51
704712666,72080,6041847,928757.0,2023-03-10T03:23:49
884986201,32273,2699830,797139.58,2021-03-22T13:19:52
118081599,79457,7724201,364272.94,2023-01-03T07:07:49
502756734,78581,2541868,654382.97,2021-05-07T06:25:58
312618142,79457,1971259,288043.23,2023-12-21T17:48:19
581378416,21086,3238651,642597.92,2023-12-20T17:49:58
893150194,92410,6894235,550845.47,2021-04-23T22:49:19
432103829,13720,3440701,108409.75,2022-10-14T05:25:13
804427369,91982,7787491,47252.33,2022-08-22T17:04:05
469053607,14895,7910843,160458.3,2024-09-28T19:06:14
338310920,92599,6387592,69494.88,2022-05-24T18:13:56
989028517,91581,8226268,374523.9,2020-04-22T20:11:01
746875913,51847,4557994,951351.49,2021-02-06T13:28:13
646624474,92599,8150376,32066.2,2020-06-13T16:14:51
